歌曲名字,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31,2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-05,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,平均播放量
My Guiding Star,3,2,2,3,2,3,4,1,2,5,6,3,1,3,3,3,3,6,5,4,4,3,2,1,2,5,2,4,1,0,2
The Other Side Of Us,19,26,22,24,27,22,28,15,21,25,26,17,20,28,30,17,18,33,11,16,20,20,16,24,11,21,20,18,24,14,21
Moving On,31,24,32,45,24,28,29,15,29,42,28,26,22,31,31,58,63,48,26,24,18,13,17,19,12,16,11,4,19,19,26
The Breeze Of Dusk,58,54,67,85,47,52,59,41,45,62,52,64,58,73,53,56,55,78,69,40,63,53,40,70,56,59,52,33,65,64,57
Standing Still,14,7,19,10,6,9,9,0,10,14,11,18,12,8,11,7,5,7,5,6,3,1,13,11,11,2,4,5,4,9,8
Fading Memories,38,28,31,35,23,26,25,21,22,29,17,37,38,32,29,30,34,24,27,24,29,35,23,35,28,25,22,19,37,37,28
Forest And Sunset,5,9,9,5,15,6,12,6,7,8,6,16,12,8,13,13,11,8,5,8,4,11,4,6,9,8,6,1,11,5,8
The Whisper Of Galaxy,83,85,112,120,93,84,74,61,86,117,89,104,118,109,84,82,114,117,82,102,90,103,97,109,118,65,94,54,109,111,95
Chilly Nights,1,0,0,3,0,0,0,1,0,1,1,0,0,0,1,0,0,5,1,1,0,4,0,1,2,0,0,1,2,1,0
Everything Flows,16,14,13,15,14,9,10,6,7,16,10,14,16,12,9,10,16,17,13,8,18,16,11,16,24,12,15,0,21,13,13
Summer Story,2,4,12,9,4,5,3,3,6,4,3,7,2,4,9,5,0,4,7,1,0,6,6,2,2,1,-1,4,1,3,3
As Time Goes By,6,4,9,15,6,3,7,4,5,11,3,2,6,6,6,2,5,8,5,1,9,8,5,11,8,4,2,2,5,5,5
