日期,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31,2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-05,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23
My Guiding Star,62,65,56,59,44,64,48,53,54,81,62,58,73,58,72,74,51,60,59,61,66,60,66,54,71,41,55,53,35,39
The Other Side Of Us,1223,1206,1190,1127,1194,1052,1142,1117,1222,1131,1159,1197,1285,1304,1280,1289,1072,1270,1105,1047,1050,969,961,1122,1020,1200,938,1105,1080,1001
Moving On,1754,1769,1812,2115,1652,1501,1595,1493,1843,2005,2042,1758,1549,1399,1701,2744,2921,2913,1473,1018,1038,945,865,918,1005,767,941,720,764,760
Breeze Of Dusk,1184,1083,1283,1359,1233,1156,1241,1193,1450,1496,1472,1222,1346,1344,1427,1335,1376,1370,1360,1357,1304,1538,1676,1510,1297,1264,1291,1203,1141,1210
Standing Still,184,169,209,216,180,206,217,183,206,290,7521,246,287,280,211,245,229,198,146,177,147,180,155,146,148,230,143,178,166,166
Fading Memories,1059,1118,983,1167,995,851,791,819,832,853,799,841,823,930,823,739,728,771,868,857,854,1081,906,995,923,840,978,922,759,841
Forest And Sunset,469,329,369,377,330,374,421,345,402,434,414,414,412,433,581,428,605,437,401,460,421,370,338,332,325,365,350,323,405,348
Chilly Nights,47,62,45,60,48,63,73,90,67,70,71,56,60,76,67,55,55,48,60,60,64,53,77,43,49,56,60,55,36,55
Everything Flows,143,135,277,172,129,160,132,128,166,254,221,140,163,154,145,149,149,125,153,155,144,189,162,143,166,133,159,137,116,149
The Whispher Of Galaxy,2031,1769,1881,1921,1878,1797,1699,1826,1936,2032,2064,1859,2013,2082,2058,1687,1628,1752,1776,1849,1829,1750,1649,1504,1806,1664,1668,1422,1413,1467
Summer Story,72,79,98,104,80,202,116,97,103,110,94,87,104,97,83,100,112,94,112,97,127,239,225,221,110,165,253,102,77,88
As Time Goes By,156,141,145,168,159,284,271,167,183,193,303,146,157,174,145,211,251,153,190,181,318,200,174,150,190,167,175,160,130,154
