playlist_name,playlist_contributing_factor,song_ranking,playlist_heat,trackcount,playlist_playcount
唯美治愈系『纯音乐』-放松心情必备,879,25,975.0,255,2103642
写作业必备 纯音乐 浑浊的世间需要温柔,12100,30,13486.0,292,20151154
|学习歌单| 用轻音乐抚慰浮躁的心.,4126,286,11940.0,437,14524172
「学习专用轻音乐」提升专注力 高效学习,36,129,81.0,230,108208
[纯音乐]适合写作业时听的歌,1524,4,1537.0,477,1896655
高级感国纯 | 沉寂的繁星会在夜空泛起微光,77,52,157.0,102,182975
安静纯音乐「学习/阅读/午休」,106,33,291.0,52,425084
唯纯音，美食与爱不可辜负～,1,27,1.0,765,5047
写作业必备歌单（清新，醒脑，静心）,787,644,3069.0,866,4578888
【高效学习&赶作业】纯音乐,864,196,1386.0,520,1628303
时间之外的往事-静心向「睡前/学习」,76,590,658.0,667,1153685
静心学习「钢琴曲」,146,246,959.0,290,1457485
轻音乐|抄书写作业必备,168,279,357.0,528,210477
学习歌单‖极静轻音乐01,35244,272,73744.0,521,105043376
学习丨阅读丨刷题丨背书集中注意力轻音乐,1066,300,2331.0,553,888424
【钢琴曲】献给你 以极致温柔,32,13,47.0,42,136458
刷题背书轻音乐（致正在努力的你）,12015,228,24757.0,443,47007372
学习歌单‖极静轻音乐01,47,340,118.0,569,34623
