playlist_name,song_ranking,trackcount,playcount,playlist_heat
『海风味的纯音乐』微雨过，小荷翻,3,347,877765,659.0
极静氛围｜宁静的生活状态真的让人倍感舒适,22,40,24,1.0
清听治愈系纯音乐（高效刷题）,24,601,2012883,1313.0
放空思绪 | 坠入钢琴海洋 安静舒缓无法自拔,19,46,311017,1129.0
舒缓安静 | 要把节奏放慢 生活是 爱也是,31,46,424622,1743.0
懂你的（纯音乐）,9,101,670297,444.0
轻音乐｜聆听心韵 心之所向 便是阳光,6,202,1328438,1120.0
听起来很舒服的【纯音乐】放松心情必备,4,287,831245,568.0
钢琴曲（安静、流行、读书、安眠),3,277,8312398,5886.0
✧ 适合看星星时听的歌 :）,3,165,10638862,6247.0
极简主义 | 氛围纯音钢琴曲好听的到哭,22,40,312331,820.0
霍格沃茨自习室,91,204,4332514,2175.0
解压 助眠 雨声 「睡觉专用」,54,122,6797735,4351.0
